product_group_id,sku,name,brand,category,gtin,supplier,supplier_sku,color,size,pack_level,units_per_pack,facility,location,on_hand,reserved,in_transit,safety_stock,reorder_point,sales_30d,lead_time_days,price,cost
PG-DEMO-WEARABLES,DEMO-WEAR-001,Pulse Band 001,Hapa Forge,wearables,8800000000001,Acme Supply,AS-001,black,XS,each,1,main,main-bin-02,7,1,3,7,14,9,5,16.74,9.73
PG-DEMO-ELECTRONICS,DEMO-ELEC-002,Beacon Hub 002,Signal Works,electronics,8800000000002,Node Works,NW-002,silver,S,each,1,west,west-bin-03,14,2,6,8,16,14,7,20.51,11.46
PG-DEMO-OUTDOOR,DEMO-OUTD-003,Field Sensor 003,Trail Node,outdoor,8800000000003,Design Partner Demo,DPD-003,green,M,each,1,east,east-bin-04,21,3,9,9,18,19,9,24.53,13.19
PG-DEMO-HOME,DEMO-HOME-004,Smart Shelf 004,Lumen House,home,8800000000004,Northstar Wholesale,NW-004,white,L,each,1,pilot,pilot-bin-05,28,4,12,10,20,24,11,28.80,14.92
PG-DEMO-OFFICE,DEMO-OFFI-005,Desk Dock 005,Ledger Labs,office,8800000000005,Blue Mesa Distribution,BMD-005,graphite,XL,case,6,overflow,overflow-bin-06,35,5,15,11,22,29,13,33.30,16.65
PG-DEMO-GROCERY,DEMO-GROC-006,Shelf Pack 006,Harvest Loop,grocery,8800000000006,ForgeLine Direct,FD-006,amber,kit,each,1,main,main-bin-07,42,6,18,12,24,34,15,38.05,18.38
PG-DEMO-BEAUTY,DEMO-BEAU-007,Care Kit 007,Aura Studio,beauty,8800000000007,Pacific Trial Supply,PTS-007,rose,each,each,1,west,west-bin-08,49,7,21,13,26,39,17,33.18,20.11
PG-DEMO-APPAREL,DEMO-APPA-008,Operator Tee 008,Thread Grid,apparel,8800000000008,Acme Supply,AS-008,navy,case,each,1,east,east-bin-09,56,8,24,14,28,44,19,37.56,21.84
PG-DEMO-INDUSTRIAL,DEMO-INDU-009,Bin Tag 009,Anchor Supply,industrial,8800000000009,Node Works,NW-009,yellow,10,carton,12,pilot,pilot-bin-10,63,9,27,6,21,49,21,42.19,23.57
PG-DEMO-TOY,DEMO-TOY-010,Builder Set 010,Play Circuit,toy,8800000000010,Design Partner Demo,DPD-010,multi,12,case,6,overflow,overflow-bin-11,70,10,2,7,23,54,23,47.06,25.30
PG-DEMO-WEARABLES,DEMO-WEAR-011,Pulse Band 011,Hapa Forge,wearables,8800000000011,Northstar Wholesale,NW-011,black,XS,each,1,main,main-bin-12,77,0,5,8,25,59,25,52.17,27.03
PG-DEMO-ELECTRONICS,DEMO-ELEC-012,Beacon Hub 012,Signal Works,electronics,8800000000012,Blue Mesa Distribution,BMD-012,silver,S,each,1,west,west-bin-13,84,1,8,9,27,64,27,57.52,28.76
PG-DEMO-OUTDOOR,DEMO-OUTD-013,Field Sensor 013,Trail Node,outdoor,8800000000013,ForgeLine Direct,FD-013,green,M,each,1,east,east-bin-14,91,2,11,10,16,7,29,63.11,30.49
PG-DEMO-HOME,DEMO-HOME-014,Smart Shelf 014,Lumen House,home,8800000000014,Pacific Trial Supply,PTS-014,white,L,each,1,pilot,pilot-bin-15,2,3,14,11,18,12,4,53.16,32.22
PG-DEMO-OFFICE,DEMO-OFFI-015,Desk Dock 015,Ledger Labs,office,8800000000015,Acme Supply,AS-015,graphite,XL,case,6,overflow,overflow-bin-16,9,4,17,12,20,17,6,58.39,33.95
PG-DEMO-GROCERY,DEMO-GROC-016,Shelf Pack 016,Harvest Loop,grocery,8800000000016,Node Works,NW-016,amber,kit,each,1,main,main-bin-17,16,5,20,13,22,22,8,63.87,35.68
PG-DEMO-BEAUTY,DEMO-BEAU-017,Care Kit 017,Aura Studio,beauty,8800000000017,Design Partner Demo,DPD-017,rose,each,each,1,west,west-bin-18,23,6,23,14,24,27,10,69.58,37.41
PG-DEMO-APPAREL,DEMO-APPA-018,Operator Tee 018,Thread Grid,apparel,8800000000018,Northstar Wholesale,NW-018,navy,case,carton,12,east,east-bin-19,30,7,26,6,17,32,12,75.54,39.14
PG-DEMO-INDUSTRIAL,DEMO-INDU-019,Bin Tag 019,Anchor Supply,industrial,8800000000019,Blue Mesa Distribution,BMD-019,yellow,10,each,1,pilot,pilot-bin-20,37,8,1,7,19,37,14,81.74,40.87
PG-DEMO-TOY,DEMO-TOY-020,Builder Set 020,Play Circuit,toy,8800000000020,ForgeLine Direct,FD-020,multi,12,case,6,overflow,overflow-bin-21,44,9,4,8,21,42,16,88.18,42.60
PG-DEMO-WEARABLES,DEMO-WEAR-021,Pulse Band 021,Hapa Forge,wearables,8800000000021,Pacific Trial Supply,PTS-021,black,XS,each,1,main,main-bin-22,51,10,7,9,23,47,18,73.14,44.33
PG-DEMO-ELECTRONICS,DEMO-ELEC-022,Beacon Hub 022,Signal Works,electronics,8800000000022,Acme Supply,AS-022,silver,S,each,1,west,west-bin-23,58,0,10,10,25,52,20,79.22,46.06
PG-DEMO-OUTDOOR,DEMO-OUTD-023,Field Sensor 023,Trail Node,outdoor,8800000000023,Node Works,NW-023,green,M,each,1,east,east-bin-24,65,1,13,11,27,57,22,85.54,47.79
PG-DEMO-HOME,DEMO-HOME-024,Smart Shelf 024,Lumen House,home,8800000000024,Design Partner Demo,DPD-024,white,L,each,1,pilot,pilot-bin-01,72,2,16,12,29,62,24,92.11,49.52
PG-DEMO-OFFICE,DEMO-OFFI-025,Desk Dock 025,Ledger Labs,office,8800000000025,Northstar Wholesale,NW-025,graphite,XL,case,6,overflow,overflow-bin-02,79,3,19,13,31,5,26,98.91,51.25
PG-DEMO-GROCERY,DEMO-GROC-026,Shelf Pack 026,Harvest Loop,grocery,8800000000026,Blue Mesa Distribution,BMD-026,amber,kit,each,1,main,main-bin-03,86,4,22,14,20,10,28,105.96,52.98
PG-DEMO-BEAUTY,DEMO-BEAU-027,Care Kit 027,Aura Studio,beauty,8800000000027,ForgeLine Direct,FD-027,rose,each,carton,12,west,west-bin-04,93,5,25,6,13,15,3,113.25,54.71
PG-DEMO-APPAREL,DEMO-APPA-028,Operator Tee 028,Thread Grid,apparel,8800000000028,Pacific Trial Supply,PTS-028,navy,case,each,1,east,east-bin-05,4,6,0,7,15,20,5,93.13,56.44
PG-DEMO-INDUSTRIAL,DEMO-INDU-029,Bin Tag 029,Anchor Supply,industrial,8800000000029,Acme Supply,AS-029,yellow,10,each,1,pilot,pilot-bin-06,11,7,3,8,17,25,7,100.05,58.17
PG-DEMO-TOY,DEMO-TOY-030,Builder Set 030,Play Circuit,toy,8800000000030,Node Works,NW-030,multi,12,case,6,overflow,overflow-bin-07,18,8,6,9,19,30,9,107.22,59.90
PG-DEMO-WEARABLES,DEMO-WEAR-031,Pulse Band 031,Hapa Forge,wearables,8800000000031,Design Partner Demo,DPD-031,black,XS,each,1,main,main-bin-08,25,9,9,10,21,35,11,114.63,61.63
PG-DEMO-ELECTRONICS,DEMO-ELEC-032,Beacon Hub 032,Signal Works,electronics,8800000000032,Northstar Wholesale,NW-032,silver,S,each,1,west,west-bin-09,32,10,12,11,23,40,13,122.28,63.36
